,1_ortho
0,a
1,a
2,a
3,acapella
4,acappella
5,acontrario
6,afortiori
7,agiorno
8,ajeun
9,alinstar
10,aposteriori
11,apriori
12,apriori
13,aa
14,ababsurdo
15,abinitio
16,abovo
17,abaca
18,abaissa
19,abaissai
20,abaissaient
21,abaissait
22,abaissant
23,abaissant
24,abaissante
25,abaisse
26,abaisse
27,abaisselangue
28,abaissement
29,abaissent
30,abaisser
31,abaissera
32,abaisserai
33,abaisseraient
34,abaisserais
35,abaisserait
36,abaisses
37,abaissez
38,abaissons
39,abaissèrent
40,abaissé
41,abaissé
42,abaissée
43,abaissée
44,abaissées
45,abaissées
46,abaissés
47,abaissés
48,abalone
49,abalones
50,abandon
51,abandonna
52,abandonnai
53,abandonnaient
54,abandonnais
55,abandonnait
56,abandonnant
57,abandonnas
58,abandonne
59,abandonnent
60,abandonner
61,abandonnera
62,abandonnerai
63,abandonneraient
64,abandonnerais
65,abandonnerait
66,abandonneras
67,abandonnerez
68,abandonneriez
69,abandonnerions
70,abandonnerons
71,abandonneront
72,abandonnes
73,abandonneurs
74,abandonnez
75,abandonniez
76,abandonnions
77,abandonnique
78,abandonnons
79,abandonnâmes
80,abandonnât
81,abandonnèrent
82,abandonné
83,abandonné
84,abandonnée
85,abandonnée
86,abandonnées
87,abandonnées
88,abandonnés
89,abandonnés
90,abandons
91,abaque
92,abasourdi
93,abasourdi
94,abasourdie
95,abasourdie
96,abasourdir
97,abasourdis
98,abasourdis
99,abasourdissant
100,abasourdissants
101,abat
102,abat
103,abatjour
104,abatson
105,abatage
106,abatis
107,abats
108,abats
109,abattage
110,abattages
111,abattaient
112,abattais
113,abattait
114,abattant
115,abattant
116,abattants
117,abatte
118,abattement
119,abattements
120,abattent
121,abattes
122,abatteur
123,abatteurs
124,abattez
125,abattiez
126,abattions
127,abattirent
128,abattis
129,abattis
130,abattit
131,abattoir
132,abattoirs
133,abattons
134,abattra
135,abattrai
136,abattraient
137,abattrais
138,abattrait
139,abattras
140,abattre
141,abattrez
142,abattriez
143,abattrons
144,abattront
145,abattu
146,abattu
147,abattu
